School,Abbrev. Name,h_a,set,points,Date,Time,Site,Attendance,url
"City College of N.Y.
                                      ",      CCNY,Home,1,10,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"City College of N.Y.
                                      ",      CCNY,Home,2,11,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"City College of N.Y.
                                      ",      CCNY,Home,3,17,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,1,25,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,2,25,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"SUNY Canton
                                        ",    CANTON,Away,3,25,2013-10-04,18:30:00,"                 Union, N.J. (Harwood Arena)

",44,https://rooathletics.com/boxscore.aspx?id=1215&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,21,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,13,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,4,26,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,5,12,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"Kean University
                                      ",      KEAN,Away,1,25,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"Kean University
                                      ",      KEAN,Away,2,25,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"Kean University
                                      ",      KEAN,Away,3,13,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"Kean University
                                      ",      KEAN,Away,4,24,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"Kean University
                                      ",      KEAN,Away,5,15,2013-10-04,20:00:00,"                 Union, N.J. (Harwood Arena)

",56,https://rooathletics.com/boxscore.aspx?id=1216&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,2,25,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,3,25,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"Centenary College
                                      ",      CEWV,Away,1,11,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"Centenary College
                                      ",      CEWV,Away,2,8,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"Centenary College
                                      ",      CEWV,Away,3,9,2013-10-05,11:00:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1217&path=wvball
"SUNY Canton
                                        ",    CANTON,Home,1,25,2013-10-05,12:50:00,"                 Union, N.J. (Harwood Arena)

",55,https://rooathletics.com/boxscore.aspx?id=1218&path=wvball
